locus_tag	ftype	length_bp	gene	EC_number	COG	product
LMAHELFL_03527	CDS	666				hypothetical protein
LMAHELFL_03528	CDS	1224	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
LMAHELFL_03529	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
LMAHELFL_03530	CDS	597	slmA			Nucleoid occlusion factor SlmA
LMAHELFL_03531	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
LMAHELFL_03532	CDS	717	rph	2.7.7.56		Ribonuclease PH
LMAHELFL_03533	CDS	864				hypothetical protein
LMAHELFL_03534	CDS	903	yidZ_1			HTH-type transcriptional regulator YidZ
LMAHELFL_03535	CDS	882				hypothetical protein
LMAHELFL_03536	CDS	618				hypothetical protein
LMAHELFL_03537	CDS	1686	ligB	6.5.1.2	COG0272	DNA ligase B
LMAHELFL_03538	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
LMAHELFL_03539	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
LMAHELFL_03540	CDS	2112	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
LMAHELFL_03541	CDS	690	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
LMAHELFL_03542	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
LMAHELFL_03543	CDS	1206	gltS		COG0786	Sodium/glutamate symporter
LMAHELFL_03544	CDS	1392	xanP		COG2233	Xanthine permease XanP
LMAHELFL_03545	CDS	1710				hypothetical protein
LMAHELFL_03546	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
LMAHELFL_03547	CDS	1383	yicJ_1		COG2211	Inner membrane symporter YicJ
LMAHELFL_03548	tRNA	95				tRNA-SeC(tca)
LMAHELFL_03549	CDS	618	ecpR			HTH-type transcriptional regulator EcpR
LMAHELFL_03550	CDS	2868				hypothetical protein
LMAHELFL_03551	CDS	465				hypothetical protein
LMAHELFL_03552	CDS	858				hypothetical protein
LMAHELFL_03553	CDS	681	ycaC_2	4.-.-.-	COG1335	putative hydrolase YcaC
LMAHELFL_03554	CDS	480				hypothetical protein
LMAHELFL_03555	CDS	93				hypothetical protein
LMAHELFL_03556	CDS	2727	mgtB	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
LMAHELFL_03557	CDS	684	mgtC		COG1285	Protein MgtC
LMAHELFL_03558	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
LMAHELFL_03559	CDS	930				ISNCY family transposase ISRor2
LMAHELFL_03560	CDS	744	dgaF_2	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
LMAHELFL_03561	CDS	1110	dgaE_2	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
LMAHELFL_03562	CDS	858	manZ_2		COG3716	PTS system mannose-specific EIID component
LMAHELFL_03563	CDS	750	agaC		COG3715	N-acetylgalactosamine permease IIC component 1
LMAHELFL_03564	CDS	486	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
LMAHELFL_03565	CDS	426				hypothetical protein
LMAHELFL_03566	CDS	2799	dgaR			Transcriptional regulatory protein DagR
LMAHELFL_03567	CDS	294				hypothetical protein
LMAHELFL_03568	CDS	1383	gmuD	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
LMAHELFL_03569	CDS	1194	nepI		COG2814	Purine ribonucleoside efflux pump NepI
LMAHELFL_03570	CDS	360				hypothetical protein
LMAHELFL_03571	CDS	324				hypothetical protein
LMAHELFL_03572	CDS	780				hypothetical protein
LMAHELFL_03573	CDS	324				hypothetical protein
LMAHELFL_03574	CDS	270				hypothetical protein
LMAHELFL_03575	CDS	861	fbaA_2	4.1.2.13	COG0191	putative fructose-bisphosphate aldolase
LMAHELFL_03576	CDS	1485	glpK_1	2.7.1.30	COG0554	Glycerol kinase
LMAHELFL_03577	CDS	1359	gatC_3		COG3775	PTS system galactitol-specific EIIC component
LMAHELFL_03578	CDS	288	gatB_3	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
LMAHELFL_03579	CDS	474	gatA_2		COG1762	PTS system galactitol-specific EIIA component
LMAHELFL_03580	CDS	744	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
LMAHELFL_03581	CDS	453				hypothetical protein
LMAHELFL_03582	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
LMAHELFL_03583	CDS	1329	uhpC_2		COG2271	Membrane sensor protein UhpC
LMAHELFL_03584	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
LMAHELFL_03585	CDS	591	uhpA		COG2197	Transcriptional regulatory protein UhpA
LMAHELFL_03586	CDS	1014				hypothetical protein
LMAHELFL_03587	CDS	1317	fucP_2		COG0738	L-fucose-proton symporter
LMAHELFL_03588	CDS	921	rbsK_1	2.7.1.15		Ribokinase
LMAHELFL_03589	CDS	786	deoR_2		COG1349	Deoxyribose operon repressor
LMAHELFL_03590	CDS	291	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
LMAHELFL_03591	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
LMAHELFL_03592	CDS	99				hypothetical protein
LMAHELFL_03593	CDS	90	tisB			Small toxic protein TisB
LMAHELFL_03594	CDS	834				hypothetical protein
LMAHELFL_03595	CDS	1185	emrD			Multidrug resistance protein D
LMAHELFL_03596	CDS	1062				hypothetical protein
LMAHELFL_03597	CDS	924	dsdC		COG0583	HTH-type transcriptional regulator DsdC
LMAHELFL_03598	CDS	1338	dsdX			D-serine transporter DsdX
LMAHELFL_03599	CDS	1323	dsdA	4.3.1.18	COG3048	D-serine dehydratase
LMAHELFL_03600	CDS	531	chuR_3	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
LMAHELFL_03601	CDS	363	yidG			Inner membrane protein YidG
LMAHELFL_03602	CDS	348	yidH		COG2149	Inner membrane protein YidH
LMAHELFL_03603	CDS	1662	aspT_2			Aspartate/alanine antiporter
LMAHELFL_03604	CDS	429	ibpB		COG0071	Small heat shock protein IbpB
LMAHELFL_03605	CDS	414	ibpA_2		COG0071	Small heat shock protein IbpA
LMAHELFL_03606	CDS	291				hypothetical protein
LMAHELFL_03607	CDS	1227				hypothetical protein
LMAHELFL_03608	CDS	354	ccmH_2		COG3088	Cytochrome c-type biogenesis protein CcmH
LMAHELFL_03609	CDS	456				hypothetical protein
LMAHELFL_03610	CDS	1302	kgtP			Alpha-ketoglutarate permease
LMAHELFL_03611	CDS	324				hypothetical protein
LMAHELFL_03612	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
LMAHELFL_03613	CDS	2661	pat	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase Pat
LMAHELFL_03614	CDS	681				hypothetical protein
LMAHELFL_03615	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
LMAHELFL_03616	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
LMAHELFL_03617	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
LMAHELFL_03618	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
LMAHELFL_03619	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
LMAHELFL_03620	CDS	900	yofA		COG0583	HTH-type transcriptional regulator YofA
LMAHELFL_03621	CDS	1335	srmB	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
LMAHELFL_03622	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
LMAHELFL_03623	CDS	1647	nadB	1.4.3.16	COG0029	L-aspartate oxidase
LMAHELFL_03624	CDS	576	rpoE			ECF RNA polymerase sigma-E factor
LMAHELFL_03625	CDS	651	rseA			Anti-sigma-E factor RseA
LMAHELFL_03626	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
LMAHELFL_03627	CDS	480	rseC		COG3086	Protein RseC
LMAHELFL_03628	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
LMAHELFL_03629	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
LMAHELFL_03630	CDS	738	rnc	3.1.26.3	COG0571	Ribonuclease 3
LMAHELFL_03631	CDS	906	era		COG1159	GTPase Era
LMAHELFL_03632	CDS	729	recO		COG1381	DNA repair protein RecO
LMAHELFL_03633	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
LMAHELFL_03634	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
LMAHELFL_03635	CDS	261	yfhL		COG1145	Ferredoxin YfhL
LMAHELFL_03636	CDS	927	hdfR_1			HTH-type transcriptional regulator HdfR
LMAHELFL_03637	CDS	1197				L-lactate transporter
LMAHELFL_03638	CDS	918	panE_2	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
LMAHELFL_03639	CDS	849	murR		COG1737	HTH-type transcriptional regulator MurR
LMAHELFL_03640	CDS	894	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
LMAHELFL_03641	CDS	1362				PTS system EIIBC component
LMAHELFL_03642	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
LMAHELFL_03643	CDS	519	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
LMAHELFL_03644	CDS	1545	mltF_2	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
LMAHELFL_03645	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
LMAHELFL_03646	CDS	1386	qseE	2.7.13.3		Sensor histidine kinase QseE
LMAHELFL_03647	CDS	765	qseG			Quorum-sensing regulator protein G
LMAHELFL_03648	CDS	1338	qseF		COG2204	Transcriptional regulatory protein QseF
LMAHELFL_03649	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
LMAHELFL_03650	CDS	1461	dtpC		COG3104	Dipeptide and tripeptide permease C
LMAHELFL_03651	CDS	2145	cadA	4.1.1.18	COG1982	Inducible lysine decarboxylase
LMAHELFL_03652	CDS	1332	cadB		COG0531	putative cadaverine/lysine antiporter
LMAHELFL_03653	CDS	1542	cadC		COG3710	Transcriptional activator CadC
LMAHELFL_03654	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
LMAHELFL_03655	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
LMAHELFL_03656	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
LMAHELFL_03657	CDS	1278				hypothetical protein
LMAHELFL_03658	CDS	639				hypothetical protein
LMAHELFL_03659	CDS	987				hypothetical protein
LMAHELFL_03660	CDS	1014	asrC	1.8.1.-	COG2221	Anaerobic sulfite reductase subunit C
LMAHELFL_03661	CDS	819	asrB		COG0543	Anaerobic sulfite reductase subunit B
LMAHELFL_03662	CDS	1044	asrA		COG1145	Anaerobic sulfite reductase subunit A
LMAHELFL_03663	CDS	879			COG1073	putative protein
LMAHELFL_03664	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
LMAHELFL_03665	CDS	732	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
LMAHELFL_03666	CDS	495	iscR		COG1959	HTH-type transcriptional regulator IscR
LMAHELFL_03667	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
LMAHELFL_03668	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
LMAHELFL_03669	CDS	324	iscA		COG0316	Iron-binding protein IscA
LMAHELFL_03670	CDS	516	hscB		COG1076	Co-chaperone protein HscB
LMAHELFL_03671	CDS	1851	hscA		COG0443	Chaperone protein HscA
LMAHELFL_03672	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
LMAHELFL_03673	CDS	201	iscX		COG2975	Protein IscX
LMAHELFL_03674	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
LMAHELFL_03675	CDS	180				hypothetical protein
LMAHELFL_03676	CDS	777				hypothetical protein
LMAHELFL_03677	CDS	669				hypothetical protein
LMAHELFL_03678	CDS	225				hypothetical protein
LMAHELFL_03679	CDS	843	sseA_2	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
LMAHELFL_03680	CDS	4935	yfhM		COG2373	Alpha-2-macroglobulin
LMAHELFL_03681	CDS	2316	pbpC		COG4953	Penicillin-binding protein 1C
LMAHELFL_03682	CDS	2379	dmsA_3	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
LMAHELFL_03683	CDS	630	dmsB_4		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
LMAHELFL_03684	CDS	810	dmsC_4		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
LMAHELFL_03685	CDS	864	napF_1			Ferredoxin-type protein NapF
LMAHELFL_03686	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
LMAHELFL_03687	CDS	1167	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
LMAHELFL_03688	CDS	1005	rodZ		COG1426	Cytoskeleton protein RodZ
LMAHELFL_03689	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
LMAHELFL_03690	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
LMAHELFL_03691	CDS	621				hypothetical protein
LMAHELFL_03692	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
LMAHELFL_03693	CDS	1473	der		COG1160	GTPase Der
LMAHELFL_03694	CDS	222	yfgJ			putative protein YfgJ
LMAHELFL_03695	CDS	2193				hypothetical protein
LMAHELFL_03696	CDS	957				hypothetical protein
LMAHELFL_03697	CDS	5580				hypothetical protein
LMAHELFL_03698	CDS	7308				hypothetical protein
LMAHELFL_03699	CDS	5901				hypothetical protein
LMAHELFL_03700	CDS	1350	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
LMAHELFL_03701	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
LMAHELFL_03702	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
LMAHELFL_03703	CDS	744				hypothetical protein
LMAHELFL_03704	CDS	540				hypothetical protein
LMAHELFL_03705	CDS	516				hypothetical protein
LMAHELFL_03706	CDS	192	yfgG			Protein YfgG
LMAHELFL_03707	CDS	2214	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
LMAHELFL_03708	CDS	1542	ppx	3.6.1.11	COG0248	Exopolyphosphatase
LMAHELFL_03709	CDS	2067	ppk	2.7.4.1	COG0855	Polyphosphate kinase
LMAHELFL_03710	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
LMAHELFL_03711	CDS	1158	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
LMAHELFL_03712	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
LMAHELFL_03713	CDS	1290	uraA		COG2233	Uracil permease
LMAHELFL_03714	CDS	726	hda		COG0593	DnaA regulatory inactivator Hda
LMAHELFL_03715	CDS	360	yfgD		COG1393	putative protein YfgD
LMAHELFL_03716	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
LMAHELFL_03717	CDS	1068				hypothetical protein
LMAHELFL_03718	CDS	1182	cdaR_1		COG3835	Carbohydrate diacid regulator
LMAHELFL_03719	CDS	1269	gntP		COG2610	High-affinity gluconate transporter
LMAHELFL_03720	CDS	1140	garK_3	2.7.1.165	COG1929	Glycerate 2-kinase
LMAHELFL_03721	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
LMAHELFL_03722	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
LMAHELFL_03723	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
LMAHELFL_03724	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
LMAHELFL_03725	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
LMAHELFL_03726	CDS	864			COG2321	putative protein
LMAHELFL_03727	CDS	2019	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
LMAHELFL_03728	CDS	201				hypothetical protein
LMAHELFL_03729	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
LMAHELFL_03730	CDS	357	yffB		COG1393	Protein YffB
LMAHELFL_03731	CDS	3114	acrB_2		COG0841	Multidrug efflux pump subunit AcrB
LMAHELFL_03732	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
LMAHELFL_03733	CDS	1962		1.18.1.2		Ferredoxin--NADP reductase
LMAHELFL_03734	CDS	1299	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
LMAHELFL_03735	CDS	576	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
LMAHELFL_03736	CDS	1044				hypothetical protein
LMAHELFL_03737	CDS	231				hypothetical protein
LMAHELFL_03738	CDS	2001	tktB	2.2.1.1	COG0021	Transketolase 2
LMAHELFL_03739	CDS	951	tal	2.2.1.2		Transaldolase
LMAHELFL_03740	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
LMAHELFL_03741	CDS	336	eutS		COG4810	Ethanolamine utilization protein EutS
LMAHELFL_03742	CDS	480	pduV_2		COG4917	Propanediol utilization protein PduV
LMAHELFL_03743	CDS	690	eutQ		COG4766	Ethanolamine utilization protein EutQ
LMAHELFL_03744	CDS	804				hypothetical protein
LMAHELFL_03745	CDS	1017	eutD		COG0280	Ethanolamine utilization protein EutD
LMAHELFL_03746	CDS	291	eutM		COG4577	Ethanolamine utilization protein EutM
LMAHELFL_03747	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
LMAHELFL_03748	CDS	1404	adhE_4		COG1012	Aldehyde-alcohol dehydrogenase
LMAHELFL_03749	CDS	840	ftsA_1			Cell division protein FtsA
LMAHELFL_03750	CDS	1188	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
LMAHELFL_03751	CDS	1227				hypothetical protein
LMAHELFL_03752	CDS	1404				hypothetical protein
LMAHELFL_03753	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
LMAHELFL_03754	CDS	897	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
LMAHELFL_03755	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
LMAHELFL_03756	CDS	495	eutK		COG4577	Ethanolamine utilization protein EutK
LMAHELFL_03757	CDS	1053				hypothetical protein
LMAHELFL_03758	CDS	672				hypothetical protein
LMAHELFL_03759	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
LMAHELFL_03760	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
LMAHELFL_03761	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
LMAHELFL_03762	CDS	450	yfeZ_2			Inner membrane protein YfeZ
LMAHELFL_03763	CDS	576	yfeY			putative protein YfeY
LMAHELFL_03764	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
LMAHELFL_03765	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
LMAHELFL_03766	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
LMAHELFL_03767	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
LMAHELFL_03768	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
LMAHELFL_03769	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
LMAHELFL_03770	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
LMAHELFL_03771	CDS	540				hypothetical protein
LMAHELFL_03772	CDS	363				hypothetical protein
LMAHELFL_03773	CDS	720				hypothetical protein
LMAHELFL_03774	CDS	1293	ptsJ		COG1167	Vitamin B6 salvage pathway transcriptional repressor PtsJ
LMAHELFL_03775	CDS	867	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
LMAHELFL_03776	CDS	240				hypothetical protein
LMAHELFL_03777	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
LMAHELFL_03778	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
LMAHELFL_03779	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
LMAHELFL_03780	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
LMAHELFL_03781	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
LMAHELFL_03782	CDS	987	zipA		COG3115	Cell division protein ZipA
LMAHELFL_03783	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
LMAHELFL_03784	CDS	219				hypothetical protein
LMAHELFL_03785	CDS	999				hypothetical protein
LMAHELFL_03786	CDS	927	oxyR_2			Hydrogen peroxide-inducible genes activator
LMAHELFL_03787	CDS	762				hypothetical protein
LMAHELFL_03788	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
LMAHELFL_03789	CDS	1257	xapB			Xanthosine permease
LMAHELFL_03790	CDS	159				hypothetical protein
LMAHELFL_03791	CDS	885	hcaR_2			Hca operon transcriptional activator HcaR
LMAHELFL_03792	tRNA	76				tRNA-Lys(ttt)
LMAHELFL_03793	tRNA	76				tRNA-Val(tac)
LMAHELFL_03794	tRNA	76				tRNA-Val(tac)
LMAHELFL_03795	tRNA	76				tRNA-Val(tac)
LMAHELFL_03796	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
LMAHELFL_03797	CDS	372				hypothetical protein
LMAHELFL_03798	CDS	363				hypothetical protein
LMAHELFL_03799	tRNA	76				tRNA-Ala(ggc)
LMAHELFL_03800	tRNA	76				tRNA-Ala(ggc)
LMAHELFL_03801	CDS	2190	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
LMAHELFL_03802	CDS	1203	nupC		COG1972	Nucleoside permease NupC
LMAHELFL_03803	CDS	1242	mntH		COG1914	Divalent metal cation transporter MntH
LMAHELFL_03804	CDS	327				hypothetical protein
LMAHELFL_03805	CDS	999	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
LMAHELFL_03806	CDS	1653	ipdC	4.1.1.74	COG3961	Indole-3-pyruvate decarboxylase
LMAHELFL_03807	CDS	1236	yfeO			Putative ion-transport protein YfeO
LMAHELFL_03808	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
LMAHELFL_03809	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
LMAHELFL_03810	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
LMAHELFL_03811	CDS	114				hypothetical protein
LMAHELFL_03812	CDS	243				hypothetical protein
LMAHELFL_03813	CDS	1392	pgtP		COG2271	Phosphoglycerate transporter protein
LMAHELFL_03814	CDS	1275	pgtC		COG1840	Phosphoglycerate transport regulatory protein PgtC
LMAHELFL_03815	CDS	2007	pgtB	2.7.13.3	COG4192	Phosphoglycerate transport system sensor protein PgtB
LMAHELFL_03816	CDS	1251	dctD			C4-dicarboxylate transport transcriptional regulatory protein DctD
LMAHELFL_03817	CDS	939	pla	3.4.23.48		Coagulase/fibrinolysin
LMAHELFL_03818	tRNA	75				tRNA-Arg(cct)
LMAHELFL_03819	CDS	942	yfdC		COG2116	Inner membrane protein YfdC
LMAHELFL_03820	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
LMAHELFL_03821	CDS	1308	fadL		COG2067	Long-chain fatty acid transport protein
LMAHELFL_03822	CDS	285				hypothetical protein
LMAHELFL_03823	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
LMAHELFL_03824	CDS	2148	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
LMAHELFL_03825	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
LMAHELFL_03826	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
LMAHELFL_03827	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
LMAHELFL_03828	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
LMAHELFL_03829	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
LMAHELFL_03830	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
LMAHELFL_03831	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
LMAHELFL_03832	CDS	276				hypothetical protein
LMAHELFL_03833	CDS	2001	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
LMAHELFL_03834	CDS	1215	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
LMAHELFL_03835	CDS	657				hypothetical protein
LMAHELFL_03836	CDS	519				hypothetical protein
LMAHELFL_03837	CDS	369				hypothetical protein
LMAHELFL_03838	CDS	249				hypothetical protein
LMAHELFL_03839	CDS	375				hypothetical protein
LMAHELFL_03840	CDS	1179	yfcJ_2			putative MFS-type transporter YfcJ
LMAHELFL_03841	CDS	1002	flk			Flagellar regulator flk
LMAHELFL_03842	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
LMAHELFL_03843	CDS	1014	usg		COG0136	USG-1 protein
LMAHELFL_03844	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
LMAHELFL_03845	CDS	660	dedA		COG0586	Protein DedA
LMAHELFL_03846	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
LMAHELFL_03847	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
LMAHELFL_03848	CDS	675	dedD			Cell division protein DedD
LMAHELFL_03849	CDS	489	cvpA		COG1286	Colicin V production protein
LMAHELFL_03850	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
LMAHELFL_03851	CDS	1428	rocR		COG3829	Arginine utilization regulatory protein RocR
LMAHELFL_03852	CDS	1398	lysA_2	4.1.1.20	COG0019	Diaminopimelate decarboxylase
LMAHELFL_03853	CDS	1422	gadC		COG0531	Glutamate/gamma-aminobutyrate antiporter
LMAHELFL_03854	CDS	1104	orr	5.1.1.12	COG3457	Ornithine racemase
LMAHELFL_03855	CDS	1407	rocC		COG0833	Amino-acid permease RocC
LMAHELFL_03856	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
LMAHELFL_03857	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
LMAHELFL_03858	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
LMAHELFL_03859	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
LMAHELFL_03860	CDS	708	hisM		COG4160	Histidine transport system permease protein HisM
LMAHELFL_03861	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
LMAHELFL_03862	CDS	894				Epimerase family protein
LMAHELFL_03863	CDS	648	yfcG_2	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
